Track name,Artist name,Album,Playlist name,Type,ISRC
"Kenny Loggins - Footloose (From ""Footloose"" Soundtrack)","","","Muasicas do Kuduairo","Playlist",""
"Skrillex & Damian ""Jr Gong"" Marley - ""Make It Bun Dem"" [Audio]","","","Muasicas do Kuduairo","Playlist",""
"Lordi - Hard Rock Hallelujah","","","Muasicas do Kuduairo","Playlist",""
"Emperors New Clothes- Panic! At The Disco","","","Muasicas do Kuduairo","Playlist",""
"I Write Sins Not Tragadies- Panic! At The Disco","","","Muasicas do Kuduairo","Playlist",""
"Skillet - Monster (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"DOKI DOKI POPOTÃO CLUB","","","Muasicas do Kuduairo","Playlist",""
"Skillet - Awake and Alive (Official Audio)","","","Muasicas do Kuduairo","Playlist",""
"Red Hot Chili Peppers - Can't Stop [Official Music Video]","","","Muasicas do Kuduairo","Playlist",""
"Talking Heads - Psycho Killer (Official Audio)","","","Muasicas do Kuduairo","Playlist",""
"Linkin Park - Faint","","","Muasicas do Kuduairo","Playlist",""
"Ram Jam - Black Betty (Official Audio)","","","Muasicas do Kuduairo","Playlist",""
"＜ノラガミARAGOTO＞OPテーマ  THE ORAL CIGARETTES「狂乱 Hey Kids!!」MusicVideo","","","Muasicas do Kuduairo","Playlist",""
"Hello Sleepwalkers「午夜の待ち合わせ」MUSIC VIDEO","","","Muasicas do Kuduairo","Playlist",""
"米津玄師 Kenshi Yonezu - KICKBACK","","","Muasicas do Kuduairo","Playlist",""
"[Pagode Japonês] Década de amor (Clipe oficial) / Grupo Y-no","","","Muasicas do Kuduairo","Playlist",""
"O Rappa - A feira","","","Muasicas do Kuduairo","Playlist",""
"Travis Scott - SICKO MODE (Audio)","","","Muasicas do Kuduairo","Playlist",""
"Travis Scott - goosebumps","","","Muasicas do Kuduairo","Playlist",""
"Kendrick Lamar - HUMBLE.","","","Muasicas do Kuduairo","Playlist",""
"DNA - Kendrick Lamar (AUDIO)","","","Muasicas do Kuduairo","Playlist",""
"Kendrick Lamar · Jay Rock - Money Trees","","","Muasicas do Kuduairo","Playlist",""
"Electric Light Orchestra - Mr. Blue Sky","","","Muasicas do Kuduairo","Playlist",""
